16:15:21.871 [] [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
16:15:21.875 [] [restartedMain] INFO  c.r.Project2CryptoCapitolApplication - Starting Project2CryptoCapitolApplication using Java 15 on 1-PC with PID 6956 (C:\Users\1\Desktop\project2\project2-Backend\target\classes started by 1 in C:\Users\1\Desktop\project2\project2-Backend)
16:15:21.875 [] [restartedMain] INFO  c.r.Project2CryptoCapitolApplication - No active profile set, falling back to default profiles: default
16:15:21.914 [] [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:15:21.914 [] [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:15:22.746 [] [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:15:22.802 [] [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49 ms. Found 4 JPA repository interfaces.
16:15:23.436 [] [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
16:15:23.447 [] [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
16:15:23.447 [] [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16:15:23.448 [] [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
16:15:23.535 [] [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/crypto] - Initializing Spring embedded WebApplicationContext
16:15:23.536 [] [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1621 ms
16:15:23.770 [] [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:15:23.817 [] [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
16:15:23.931 [] [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
16:15:24.048 [] [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:15:24.769 [] [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:15:24.797 [] [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
